Freq	S11	S11ang	S21	S21ang	S12	S12ang	S22	S22ang				
11523600000	-4.88E+00	-1.05E+02	2.14E+01	3.66E+01	-4.32E+01	-1.68E+02	3.61E+01	1.05E+02				
11613550000	-4.17E+00	-1.13E+02	2.14E+01	6.17E+00	-4.90E+01	-2.21E+01	3.61E+01	9.84E+01				
11703500000	-4.65E+00	-1.20E+02	2.09E+01	-1.81E+01	-4.21E+01	-1.28E+02	3.65E+01	1.02E+02				
11793450000	-4.63E+00	-1.26E+02	2.08E+01	-4.72E+01	-4.25E+01	-1.74E+01	3.61E+01	9.49E+01				
11883400000	-4.24E+00	-1.32E+02	2.04E+01	-7.62E+01	-4.00E+01	-5.87E+01	3.70E+01	9.85E+01				
11973350000	-3.50E+00	-1.39E+02	2.05E+01	-1.01E+02	-3.28E+01	-2.31E+01	3.62E+01	9.16E+01				
12063300000	-3.56E+00	-1.51E+02	2.02E+01	-1.28E+02	-3.22E+01	-1.17E+02	3.72E+01	9.20E+01				
12153250000	-3.23E+00	-1.56E+02	1.96E+01	-1.57E+02	-3.72E+01	-3.77E+01	3.61E+01	8.71E+01				
12243200000	-3.76E+00	-1.61E+02	1.95E+01	1.77E+02	-4.14E+01	-9.46E+01	3.73E+01	8.44E+01				
12333150000	-3.19E+00	-1.71E+02	1.91E+01	1.51E+02	-3.77E+01	9.58E+01	3.59E+01	8.23E+01				
12423100000	-3.17E+00	-1.78E+02	1.97E+01	1.24E+02	-5.09E+01	1.32E+02	3.68E+01	7.69E+01				
12513050000	-3.41E+00	1.75E+02	1.83E+01	9.35E+01	-3.81E+01	-1.39E+02	3.54E+01	7.95E+01				
12603000000	-2.44E+00	1.72E+02	1.93E+01	6.51E+01	-4.59E+01	6.57E+01	3.61E+01	6.93E+01				
12692950000	-2.70E+00	1.65E+02	1.87E+01	3.52E+01	-4.54E+01	1.05E+02	3.47E+01	7.68E+01				
12782900000	-2.65E+00	1.59E+02	1.80E+01	1.09E+01	-4.00E+01	-4.35E+01	3.48E+01	6.31E+01				
12872850000	-2.00E+00	1.53E+02	1.82E+01	-2.30E+01	-4.23E+01	3.69E+00	3.44E+01	7.35E+01				
12962800000	-2.42E+00	1.43E+02	1.71E+01	-5.34E+01	-4.10E+01	-1.47E+02	3.36E+01	5.86E+01				
13052750000	-3.02E+00	1.40E+02	1.57E+01	-8.15E+01	-4.74E+01	1.54E+02	3.39E+01	7.26E+01				
13142700000	-2.66E+00	1.31E+02	1.55E+01	-1.09E+02	-3.93E+01	3.46E+01	3.17E+01	5.62E+01				
13232650000	-2.54E+00	1.26E+02	1.44E+01	-1.35E+02	-4.28E+01	1.69E+02	3.30E+01	7.03E+01				
13322600000	-1.96E+00	1.21E+02	1.49E+01	-1.65E+02	-3.86E+01	-1.32E+02	2.90E+01	6.02E+01				
